account;followers_count;verified
Mo Bamba;24107;True
Anthony Tolliver;39672;True
Willie Cauley-Stein;224745;True
Dragan Bender;9218;True
Lauri Markkanen;104666;True
Lance Stephenson;244293;True
Ed Davis;65201;True
Kyle O'Quinn;31388;True
Wendell Carter Jr.;47213;True
Justin Holiday;27033;True
Alex Len;16689;True
Mike Scott;25882;True
Luc Mbah a Moute;54426;True
Emmanuel Mudiay;39266;True
Kris Dunn;48770;True
Frank Ntilikina;68908;True
Glenn Robinson III;90713;True
Collin Sexton;973;False
Stanley Johnson;47314;True
Buddy Hield;114622;True
Dennis Smith Jr.;193804;True
Kevin Knox;85287;True
J.J. Barea;286443;True
Nene Hilario;54251;True
Zach Collins;15917;True
Frank Kaminsky;229784;True
Mikal Bridges;16679;True
Michael Beasley;76922;True
Jamal Murray;80651;True
Rodney Hood;45720;True
Jodie Meeks;96284;True
Justise Winslow;122335;True
Malik Monk;100573;True
Myles Turner;96999;True
Allonzo Trier;33110;True
Brook Lopez;432;False
Shai Gilgeous-Alexander;39419;True
Trey Lyles;111442;True
Ekpe Udoh;106723;True
Devin Booker;644927;True
Luke Kennard;89270;True
Cameron Payne;26504;True
Troy Daniels;25592;True
Kelly Oubre Jr.;93618;True
Miles Bridges;77085;True
Marquese Chriss;23406;True
Tomas Satoransky;12599;True
Bryn Forbes;17867;True
Donovan Mitchell;438573;True
Terry Rozier;130990;True
Jerome Robinson;5585;True
Yogi Ferrell;35753;True
Elfrid Payton;63529;True
Bam Adebayo;70102;True
Jakob Poeltl;1336;False
Michael Porter Jr.;37645;True
Justin Jackson;97733;True
Thon Maker;51026;True
Seth Curry;276002;True
Cedi Osman;220499;True
Sam Dekker;276292;True
Troy Brown Jr.;3037;True
Justin Patton;12217;True
Guerschon Yabusele;289;False
Domantas Sabonis;32309;True
Jerian Grant;37484;True
Delon Wright;29484;True
D.J. Wilson;27225;True
Zhaire Smith;20138;True
Dario Saric;34079;True
Taurean Prince;171;False
Justin Anderson;45003;True
Manu Ginobili;4880102;True
Reggie Bullock;95336;True
Bobby Portis;82612;True
Dante Cunningham;114;False
Rondae Hollis-Jefferson;53457;True
Emeka Okafor;21548;True
Kendrick Perkins;95108;True
Tyus Jones;152857;True
Jarell Martin;4784;True
T.J. Leaf;21891;True
Wayne Ellington;50654;True
Lonnie Walker IV;44052;True
John Collins;18726;True
Denzel Valentine;79745;True
Larry Nance Jr.;256941;True
Kevin Huerter;13423;True
Brandon Jennings;409;False
Harry Giles III;94673;True
Darius Miller;181123;True
Juan Hernangomez;26601;True
Josh Okogie;15138;True
Raul Neto;21299;True
Terrance Ferguson;232;False
Grayson Allen;260381;True
Sean Kilpatrick;36454;True
OG Anunoby;31063;True
Jarrett Allen;17697;True
Corey Brewer;79015;True
Torrey Craig;3710;True
Chandler Hutchison;10995;True
Ante Zizic;68;False
Shabazz Napier;61507;True
Tyler Zeller;49402;True
Aaron Holiday;11405;True
Tyler Lydon;13333;True
DeAndre Liggins;995;False
Trey Burke;173938;True
Malik Beasley;15235;True
Moritz Wagner;63809;True
Anfernee Simons;11439;True
Nerlens Noel;242968;True
Caleb Swanigan;18508;True
Furkan Korkmaz;43987;True
Landry Shamet;21650;True
Caris LeVert;36809;True
Jonah Bolden;12127;True
Kyle Kuzma;619464;True
Tony Bradley;18268;True
Derrick White;13420;True
Spencer Dinwiddie;47865;True
MarShon Brooks;50120;True
Julyan Stone;343;False
Josh Hart;264821;True
Robert Williams III;18988;True
Jacob Evans;13336;True
Pat Connaughton;39366;True
DeAndre' Bembry;7829;True
Dzanan Musa;6848;True
James Ennis III;29008;True
Omari Spellman;101;False
Luke Kornet;7757;True
Rodions Kurucs;6245;True
T.J. McConnell;52114;True
Richaun Holmes;24350;True
Dwight Buycks;15;False
Malachi Richardson;9;False
Jahlil Okafor;150525;True
Pascal Siakam;27622;True
Willy Hernangomez;64916;True
Georgios Papagiannis;2;False
Dejounte Murray;123291;True
Skal Labissiere;44221;True
Jake Layman;14710;True
Deyonta Davis;5451;True
Amir Johnson;145613;True
Shelvin Mack;25691;True
Omri Casspi;86717;True
Jeff Green;166953;True
Luol Deng;387693;True
Jamal Crawford;1296610;True
Georges Niang;70095;True
Vince Carter;964553;True
Sviatoslav Mykhailiuk;50837;True
Mitchell Robinson;20402;True
Ivan Rabb;18254;True
Tyler Dorsey;13836;True
Dwayne Bacon;36326;True
Dakari Johnson;123551;True
Thomas Bryant;32026;True
Khem Birch;5459;False
Royce O'Neale;21439;True
David Stockton;823;False
Daniel Theis;30925;True
Semi Ojeleye;24576;True
Jabari Bird;5960;True
Antonio Blakeney;31155;True
Alfonzo McKinnie;9454;True
Ben Moore;1784;True
Tyrone Wallace;3626;True
Monte Morris;4663;True
Daniel Hamilton;4861;False
Tyson Chandler;819224;True
Shaquille Harrison;4798;True
Elie Okobo;8508;True
Jalen Brunson;25039;True
Okaro White;3872;False
Joakim Noah;708870;True
Eric Moreland;6010;True
Nick Young;473265;True
Isaac Bonga;6455;False
Devonte' Graham;17800;True
De'Anthony Melton;5127;True
Ron Baker;148520;True
Austin Rivers;295929;True
Chasson Randle;5962;False
Jevon Carter;18159;True
Chimezie Metu;5694;True
Hamidou Diallo;55194;True
Gary Trent Jr.;39180;True
Bruce Brown;4939;True
Alize Johnson;6975;True
